idx,comp_url,pdf_url,downloaded_filename
0,https://www.annualreports.com//Company/aeris-environmental,https://www.annualreports.com//Click/32223,reports/downloaded_0.pdf
1,https://www.annualreports.com//Company/scpharmaceuticals-inc,https://www.annualreports.com//Click/26736,reports/downloaded_1.pdf
2,https://www.annualreports.com//Company/1895-bancorp-of-wisconsin-inc,https://www.annualreports.com//Click/33158,reports/downloaded_2.pdf
3,https://www.annualreports.com//Company/1life-healthcare-inc,https://www.annualreports.com//Click/28024,reports/downloaded_3.pdf
4,https://www.annualreports.com//Company/1spatial-plc,https://www.annualreports.com//Click/30804,reports/downloaded_4.pdf
5,https://www.annualreports.com//Company/1st-colonial-bancorp-inc,https://www.annualreports.com//Click/23117,reports/downloaded_5.pdf
6,https://www.annualreports.com//Company/1st-constitution-bancorp-nj,https://www.annualreports.com//Click/29555,
7,https://www.annualreports.com//Company/1st-source-corporation,https://www.annualreports.com//Click/21533,reports/downloaded_7.pdf
8,https://www.annualreports.com//Company/21vianet-group-inc,https://www.annualreports.com//Click/28026,reports/downloaded_8.pdf
9,https://www.annualreports.com//Company/23andme-holding-co,https://www.annualreports.com//Click/34786,reports/downloaded_9.pdf
